# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
87, 42, 56, 50, 0.9994, 0.8418, 2.7974, 29, 28
88, 31, 57, 9, 0.9996, 1.0000, 0.9291, 48, 49
88, 34, 105, 109, 0.9997, 1.0000, 1.5279, 43, 39
88, 42, 58, 50, 0.9996, 0.8835, 1.8574, 30, 29
89, 31, 59, 10, 0.9996, 1.0000, 1.5467, 49, 50
89, 34, 107, 109, 0.9997, 1.0000, 1.7514, 44, 40
89, 37, 21, 12, 0.9997, 1.0000, 0.7235, 36, 36
90, 31, 60, 11, 0.9997, 1.0000, 1.6361, 50, 51
90, 34, 109, 109, 0.9997, 1.0000, 1.9738, 45, 41
90, 37, 22, 12, 0.9997, 1.0000, 0.9993, 37, 37
91, 31, 62, 11, 0.9997, 1.0000, 1.8212, 51, 52
91, 34, 111, 109, 0.9997, 1.0000, 2.0263, 46, 42
92, 31, 63, 11, 0.9997, 1.0000, 1.2658, 52, 53
92, 34, 113, 109, 0.9997, 1.0000, 2.0139, 47, 43
92, 37, 23, 13, 0.9997, 1.0000, 1.0540, 39, 39
92, 56, 5, 43, 0.9997, 0.7623, 0.7641, 5, 6
93, 31, 64, 11, 0.9997, 1.0000, 0.9879, 53, 54
93, 34, 114, 109, 0.9997, 1.0000, 1.2375, 48, 44
93, 37, 24, 13, 0.9997, 1.0000, 1.0420, 40, 40
94, 31, 65, 11, 0.9997, 1.0000, 0.9561, 54, 55
94, 34, 116, 109, 0.9997, 1.0000, 1.7067, 49, 45
95, 31, 67, 11, 0.9997, 1.0000, 1.7491, 55, 56
95, 34, 118, 109, 0.9997, 1.0000, 1.9992, 50, 46
95, 37, 25, 13, 0.9997, 1.0000, 0.7249, 42, 42
96, 31, 68, 11, 0.9997, 1.0000, 1.2926, 56, 57
96, 34, 120, 109, 0.9997, 1.0000, 2.0425, 51, 47
96, 37, 26, 14, 0.9997, 1.0000, 1.2486, 43, 43
97, 31, 69, 11, 0.9997, 1.0000, 1.0025, 57, 58
97, 34, 122, 109, 0.9997, 1.0000, 2.0163, 52, 48
97, 37, 26, 13, 0.9996, 1.0000, 0.5471, 44, 44
98, 31, 71, 12, 0.9997, 1.0000, 1.8840, 58, 59
98, 34, 124, 109, 0.9997, 1.0000, 2.0000, 53, 49
98, 37, 27, 13, 0.9997, 1.0000, 0.7793, 45, 45
98, 57, 99, 119, 0.9997, 0.7623, 2.2477, 5, 6
