# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
40, 30, 30, 115, 0.9997, 1.0000, 1.7649, 18, 18
40, 41, 124, 117, 0.7364, 0.5234, 17.1337, 2, 3
41, 9, 120, 49, 0.9997, 1.0000, 1.2213, 41, 40
41, 18, 49, 27, 0.9997, 1.0000, 1.7241, 30, 30
41, 26, 28, 115, 0.9997, 0.9747, 2.0149, 22, 22
41, 30, 31, 114, 0.9997, 1.0000, 1.4663, 19, 19
41, 42, 92, 108, 0.9950, 0.6929, 1.7497, 3, 4
42, 9, 121, 49, 0.9997, 1.0000, 1.0375, 42, 41
42, 18, 51, 28, 0.9997, 1.0000, 2.1468, 31, 31
42, 26, 30, 114, 0.9997, 1.0000, 2.1424, 23, 23
42, 42, 93, 109, 0.9995, 0.7268, 1.3954, 4, 5
42, 43, 16, 45, 0.9871, 0.6881, 1.4652, 3, 4
42, 44, 48, 53, 0.9878, 0.6885, 2.2747, 3, 4
43, 9, 122, 50, 0.9997, 1.0000, 1.2603, 43, 42
43, 5, 56, 115, 0.9997, 0.6791, 1.0000, 43, 42
43, 18, 52, 28, 0.9997, 1.0000, 1.3093, 32, 32
43, 26, 32, 114, 0.9997, 1.0000, 2.0197, 24, 24
43, 42, 94, 109, 0.9997, 0.7623, 0.9843, 5, 6
43, 47, 12, 0, 0.9981, 0.6947, 1.0059, 3, 4
43, 48, 109, 123, 0.9142, 0.6257, 8.2712, 2, 3
44, 9, 123, 50, 0.9997, 1.0000, 1.0320, 44, 43
44, 5, 55, 114, 0.9997, 0.7205, 1.2342, 44, 43
44, 18, 54, 28, 0.9997, 1.0000, 1.7236, 33, 33
44, 26, 34, 114, 0.9997, 1.0000, 1.9992, 25, 25
44, 42, 95, 110, 0.9997, 0.7998, 1.2100, 6, 7
44, 51, 112, 123, 0.9945, 0.6925, 1.6034, 3, 4
44, 52, 24, 0, 0.7755, 0.5459, 17.3440, 2, 3
45, 9, 124, 50, 0.9997, 1.0000, 1.0001, 45, 44
45, 5, 54, 114, 0.9997, 0.7620, 1.0377, 45, 44
45, 18, 55, 28, 0.9997, 1.0000, 1.2368, 34, 34
45, 26, 36, 113, 0.9997, 1.0000, 2.1260, 26, 26
45, 42, 95, 111, 0.9997, 0.8384, 1.0364, 7, 8
45, 47, 13, 1, 0.9997, 0.7623, 1.0414, 5, 6
45, 51, 113, 123, 0.9994, 0.7267, 0.5458, 4, 5
46, 9, 126, 51, 0.9997, 1.0000, 1.9056, 46, 45
46, 5, 42, 111, 0.8350, 0.6876, 11.1689, 46, 45
46, 18, 57, 28, 0.9997, 1.0000, 1.7486, 35, 35
46, 26, 37, 112, 0.9997, 1.0000, 1.6151, 27, 27
46, 49, 58, 95, 0.9619, 0.6015, 8.6219, 8, 7
46, 42, 95, 110, 0.9996, 0.8778, 0.4875, 8, 9
46, 47, 14, 1, 0.9997, 0.7998, 1.0415, 6, 7
47, 9, 127, 51, 0.9997, 1.0000, 1.3213, 47, 46
47, 18, 59, 28, 0.9997, 1.0000, 2.0154, 36, 36
47, 26, 39, 111, 0.9997, 1.0000, 2.0082, 28, 28
47, 40, 72, 55, 0.9992, 0.6694, 1.5755, 13, 12
47, 49, 49, 100, 0.9982, 0.6629, 10.1131, 9, 8
47, 42, 96, 111, 0.9996, 0.9178, 0.8310, 9, 10
47, 47, 15, 1, 0.9997, 0.8385, 1.0425, 7, 8
48, 9, 118, 45, 0.6153, 0.7114, 9.7616, 48, 47
48, 18, 60, 28, 0.9997, 1.0000, 1.2786, 37, 37
48, 26, 40, 111, 0.9997, 1.0000, 1.2614, 29, 29
48, 49, 42, 113, 0.9751, 0.6912, 14.7774, 10, 9
48, 42, 98, 112, 0.9996, 0.9580, 2.0649, 10, 11
48, 47, 16, 1, 0.9997, 0.8779, 1.0172, 8, 9
48, 55, 28, 0, 0.7162, 0.5118, 10.4901, 2, 3
48, 56, 76, 37, 0.6411, 0.4687, 13.6621, 2, 3
49, 18, 62, 28, 0.9997, 1.0000, 1.7222, 38, 38
49, 26, 41, 110, 0.9997, 1.0000, 1.2134, 30, 30
49, 42, 99, 113, 0.9997, 0.9986, 1.7309, 11, 12
49, 47, 17, 2, 0.9997, 0.9178, 1.2486, 9, 10
50, 18, 64, 29, 0.9997, 1.0000, 2.1401, 39, 39
50, 26, 43, 110, 0.9997, 1.0000, 1.7401, 31, 31
50, 42, 100, 113, 0.9997, 1.0000, 1.0508, 12, 13
50, 47, 18, 2, 0.9997, 0.9581, 1.0394, 10, 11
51, 18, 65, 29, 0.9997, 1.0000, 1.3092, 40, 40
51, 26, 44, 110, 0.9997, 1.0000, 1.2787, 32, 32
51, 42, 100, 114, 0.9997, 1.0000, 0.7336, 13, 14
51, 47, 19, 2, 0.9997, 0.9986, 0.9991, 11, 12
51, 53, 121, 108, 0.9945, 0.6801, 2.4172, 8, 8
51, 60, 8, 56, 0.9981, 0.6947, 1.0059, 3, 4
51, 61, 77, 33, 0.8619, 0.5956, 4.5728, 2, 3
51, 62, 48, 112, 0.8645, 0.5971, 4.0416, 2, 3
52, 18, 67, 30, 0.9997, 1.0000, 1.8854, 41, 41
52, 26, 45, 109, 0.9997, 1.0000, 1.2355, 33, 33
52, 42, 101, 114, 0.9997, 1.0000, 0.7265, 14, 15
52, 47, 20, 2, 0.9997, 1.0000, 1.0009, 12, 13
52, 53, 122, 108, 0.9995, 0.7247, 1.4573, 9, 9
52, 61, 77, 19, 0.6494, 0.4869, 13.1011, 3, 4
52, 63, 124, 124, 0.9963, 0.6937, 1.9201, 3, 4
53, 18, 69, 30, 0.9997, 1.0000, 2.0155, 42, 42
